HEXAGONID
1023
1024
1025
1026
1027
1028
1029
1022
1078
1079
1080
1081
1082
1132
1134
1135
1136
1605
1137
1138
1139
1191
1192
1194
1195
1196
1197
1198
1199
1257
1254
1253
1252
1251
1250
1249
1308
1309
1310
1311
1312
1313
1317
1084
1142
1367
1368
1369
1370
1371
1426
1427
1428
1429
1430
1485
1486
1487
1488
1604
1664
1724
1725
1665
1606
1546
1547
1548
1732
1851
1911
1792
1852
1971
2030
2150
2091
2211
2330
2449
2568
2058
2389
2210
3468
3587
3528
3409
3588
3469
3349
3648
3529
3410
3289
3589
3470
3350
3411
3530
3649
3229
3291
3412
3531
3650
3769
3829
3710
3591
3427
3352
3230
3292
3413
3532
3651
3770
3889
3949
3830
3711
3592
3473
3353
3231
3170
3048
3049
3050
3051
3110
3009
3171
3172
3173
3233
3232
4370
4250
4130
4011
3892
3773
3654
3535
3416
3295
5947
5823
5700
5578
5456
5334
5213
5092
4971
4850
4730
4610
4490
5761
5638
5516
5394
5273
5152
5031
4910
4789
4669
4549
4429
5455
5333
5212
5091
4970
4849
4729
4609
4489
4369
5030
4909
4788
4668
4548
4428
4728
4608
4667
5934
5935
5936
5937
5938
5939
5940
5941
5942
5943
5944
5945
5946
5872
5873
5874
5875
5876
5877
5878
5879
5880
5881
5810
5811
5812
5813
5814
5815
5816
5817
5818
5819
5749
5750
5751
5752
5753
5754
5755
5756
5757
5758
5687
5688
5689
5690
5691
5692
5693
5694
5695
5696
5626
5627
5628
5629
5630
5631
5632
5633
5634
5635
5565
5566
5567
5568
5569
5570
5571
5572
5573
5574
5504
5505
5506
5507
5508
5509
5510
5512
5513
5443
5444
5445
5446
5447
5448
5449
5382
5383
5384
5385
5386
5387
5388
5390
5269
5330
5270
5452
5322
5323
5324
5325
5326
5327
5261
5262
5263
5264
5265
5266
5201
5202
5203
5204
5205
5140
5141
5142
5143
5144
5145
5080
1133
1193
2508
3111
3293
3414
3533
3652
3771
3890
4009
4069
3950
3831
3712
3593
3474
3354
4249
4129
4010
3891
3772
3653
3534
3415
3294
4189
4070
3951
3832
3713
3594
3475
3355
2929
2808
2989
2868
2928
5151
5577
5084
5024
4963
5023
5083
5019
4959
4899
4838
4778
4718
4598
4478
5149
5028
4907
4846
4967
5088
5209
5148
5027
4906
5087
5208
5329
5389
5268
5147
5026
4905
5328
5207
5086
4723
4662
4603
4542
4483
4422
4363
4302
4243
4602
4178
4059
3702
3821
2558
2439
3472
5882
5883
5884
5822
5821
5820
5206
5085
4964
4903
4663
5022
4901
4902
3940
1077
1021
1190
1721
4238
4898
4309
